UserId;Login;Password;RoleId;Surname;Name;Patronymic
1;94d5ous@gmail.com;uzWC67;1;Никифорова;Весения;Николаевна
2;uth4iz@mail.com;2L6KZG;1;Сазонов;Руслан;Германович
3;yzls62@outlook.com;JlFRCZ;1;Одинцов;Серафим;Артёмович
4;1diph5e@tutanota.com;8ntwUp;2;Степанов;Михаил;Артёмович
5;tjde7c@yahoo.com;YOyhfR;2;Ворсин;Петр;Евгеньевич
6;wpmrc3do@tutanota.com;RSbvHv;2;Старикова;Елена;Павловна
7;5d4zbu@tutanota.com;rwVDh9;3;Михайлюк;Анна;Вячеславовна
8;ptec8ym@yahoo.com;LdNyos;3;Ситдикова;Елена;Анатольевна
9;1qz4kw@mail.com;gynQMT;3;Ворсин;Петр;Евгеньевич
10;4np6se@mail.com;AtnDjr;3;Старикова;Елена;Павловна
